SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000002ms & <000005ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,266,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000005ms & <000010ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,141,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000010ms & <000020ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,203,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000020ms & <000050ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,506,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000050ms & <000100ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,382,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000100ms & <000200ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,303,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000200ms & <000500ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000500ms & <001000ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=001000ms & <002000ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=002000ms & <005000ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=005000ms & <010000ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=010000ms & <020000ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=020000ms & <050000ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=050000ms & <100000ms                                                                                                  ,CPU Time:Total(ms)                                                                                                              ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=100000ms                                                                                                              ,CPU Time:Total(ms)                                                                                                              ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000000ms & <000001ms                                                                                                  ,CPU Time:Requests                                                                                                               ,7045,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000001ms & <000002ms                                                                                                  ,CPU Time:Requests                                                                                                               ,90,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000002ms & <000005ms                                                                                                  ,CPU Time:Requests                                                                                                               ,98,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000005ms & <000010ms                                                                                                  ,CPU Time:Requests                                                                                                               ,20,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000010ms & <000020ms                                                                                                  ,CPU Time:Requests                                                                                                               ,16,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000020ms & <000050ms                                                                                                  ,CPU Time:Requests                                                                                                               ,17,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000050ms & <000100ms                                                                                                  ,CPU Time:Requests                                                                                                               ,5,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000100ms & <000200ms                                                                                                  ,CPU Time:Requests                                                                                                               ,2,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000200ms & <000500ms                                                                                                  ,CPU Time:Requests                                                                                                               ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000500ms & <001000ms                                                                                                  ,CPU Time:Requests                                                                                                               ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=001000ms & <002000ms                                                                                                  ,CPU Time:Requests                                                                                                               ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=002000ms & <005000ms                                                                                                  ,CPU Time:Requests                                                                                                               ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=005000ms & <010000ms                                                                                                  ,CPU Time:Requests                                                                                                               ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=010000ms & <020000ms                                                                                                  ,CPU Time:Requests                                                                                                               ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=020000ms & <050000ms                                                                                                  ,CPU Time:Requests                                                                                                               ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=050000ms & <100000ms                                                                                                  ,CPU Time:Requests                                                                                                               ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=100000ms                                                                                                              ,CPU Time:Requests                                                                                                               ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000000ms & <000001ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000001ms & <000002ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,81,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000002ms & <000005ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,255,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000005ms & <000010ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,117,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000010ms & <000020ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,228,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000020ms & <000050ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,383,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000050ms & <000100ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,582,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000100ms & <000200ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,686,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000200ms & <000500ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000500ms & <001000ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=001000ms & <002000ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=002000ms & <005000ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=005000ms & <010000ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=010000ms & <020000ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=020000ms & <050000ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=050000ms & <100000ms                                                                                                  ,Elapsed Time:Total(ms)                                                                                                          ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=100000ms                                                                                                              ,Elapsed Time:Total(ms)                                                                                                          ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000000ms & <000001ms                                                                                                  ,Elapsed Time:Requests                                                                                                           ,7059,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000001ms & <000002ms                                                                                                  ,Elapsed Time:Requests                                                                                                           ,81,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000002ms & <000005ms                                                                                                  ,Elapsed Time:Requests                                                                                                           ,93,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000005ms & <000010ms                                                                                                  ,Elapsed Time:Requests                                                                                                           ,17,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000010ms & <000020ms                                                                                                  ,Elapsed Time:Requests                                                                                                           ,17,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000020ms & <000050ms                                                                                                  ,Elapsed Time:Requests                                                                                                           ,13,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000050ms & <000100ms                                                                                                  ,Elapsed Time:Requests                                                                                                           ,8,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000100ms & <000200ms                                                                                                  ,Elapsed Time:Requests                                                                                                           ,5,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000200ms & <000500ms                                                                                                  ,Elapsed Time:Requests                                                                                                           ,0,65792
SQLServer:Batch Resp Statistics                                                                                                 ,Batches >=000500ms & <001000ms                                                                                                  ,Elapsed Time:Requests                                                                                                           ,0,65792
